route_id,service_id,trip_id,trip_headsign,direction_id,block_id
129-256,JAN17B-JANDA17-Weekday-17,44818126-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5271638
86-256,JAN17B-JANDA17-Weekday-17,44818127-JAN17B-JANDA17-Weekday-17,"Baseline  Colonnade",1,5271989
111-256,JAN17B-JANDA17-Weekday-17,44818128-JAN17B-JANDA17-Weekday-17,"Billings Bridge",0,5271989
111-256,JAN17B-JANDA17-Weekday-17,44818129-JAN17B-JANDA17-Weekday-17,"Baseline",1,5272776
111-256,JAN17B-JANDA17-Weekday-17,44818130-JAN17B-JANDA17-Weekday-17,"Billings Bridge",0,5271705
111-256,JAN17B-JANDA17-Weekday-17,44818131-JAN17B-JANDA17-Weekday-17,"Baseline",1,5271705
111-256,JAN17B-JANDA17-Weekday-17,44818132-JAN17B-JANDA17-Weekday-17,"Billings Bridge",0,5271705
111-256,JAN17B-JANDA17-Weekday-17,44818133-JAN17B-JANDA17-Weekday-17,"Baseline",1,5271705
86-256,JAN17B-JANDA17-Weekday-17,44818134-JAN17B-JANDA17-Weekday-17,"Elmvale",0,5271824
86-256,JAN17B-JANDA17-Weekday-17,44818135-JAN17B-JANDA17-Weekday-17,"Baseline  Colonnade",1,5271824
87-256,JAN17B-JANDA17-Weekday-17,44818136-JAN17B-JANDA17-Weekday-17,"South Keys",0,5271700
111-256,JAN17B-JANDA17-Weekday-17,44818137-JAN17B-JANDA17-Weekday-17,"Baseline",1,5271511
12-256,JAN17B-JANDA17-Weekday-17,44818138-JAN17B-JANDA17-Weekday-17,"Blair",0,5271638
8-256,JAN17B-JANDA17-Weekday-17,44818139-JAN17B-JANDA17-Weekday-17,"Billings Bridge",0,5271619
111-256,JAN17B-JANDA17-Weekday-17,44818140-JAN17B-JANDA17-Weekday-17,"Baseline",1,5272406
156-256,JAN17B-JANDA17-Weekday-17,44818141-JAN17B-JANDA17-Weekday-17,"Baseline",0,5272406
